,tr20ev20,tr100ev100,tr20ev100,tr20evTexas,tr100evTexas
Ar-bench 7grids,24.20777148451423,41.40662206471233,12.71744183248524,7.284418900141127,52.05674527442767
Ar-bench 70grids,37.50668888144869,57.18424046541361,18.795549999201615,32.42031122013862,43.56260818512923
Ar-bench 700grids,45.94247215920661,58.01711067636368,34.757934117994004,33.37934760179137,52.05674527442767
Ar-bench 7000grids,51.82,60.34,38.80,38.55,55.22
GCN 7grids,15.196873246730428,14.717421609944973,-0.09340542217862009,11.61307217375863,-17.062080470969057
GCN 70grids,27.278288884696423,41.392599817811785,16.540616643354884,-20.577564528584606,-8.688314591171418
GCN 700grids,50.40826439734705,63.920779919233496,39.459905041556844,22.815223348868955,-11.108559763221892
GCN 7000grids,70.64,75.49,59.46,2.27,-46.02
TAG 7grids,4.824523418500566,9.968681863289271,-4.881564007864658,-2.4258719433051894,-14.1514640672858
TAG 70grids,41.613697505026686,63.91006047300386,29.214366757905527,30.944645189411688,50.972218174924286
TAG 700grids,69.35604718076486,81.36127024884968,54.19781662519938,57.97040205852202,76.31851638610509
TAG 7000grids,82.49,88.22,66.10,62.69,84.41
MLPlarge 7grids,44.37550181382981,52.55092411881487,8.60283959237212,-240.6714960180631,-192.2317767477301
MLPlarge 70grids,64.93178368262362,72.08137936151978,-1072.1978108255687,-4777.949024267932,-277.6327229359743
MLPlarge 700grids,75.29286639239767,78.27502453943231,-60.562472298687304,-3671.8342649694073,-2051.694744901528
MLPlage 7000grids,79.10939794014851,82.25724643272484,-996.7198899123459,-3138.7747162997207,-1697.6242483191684
